
Lupi's Pizza Pies (E. Brainerd),Winter Warmer,"1414 Jenkins Road, Chattanooga, TN",35.008774,-85.152852,"1414 Jenkins Road, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer",21,"<a href='http://maps.google.com/maps/place?cid=11373203063852916018&q=Lupi's+Pizza+Pies&gl=us&hl=en&dtab=2&ie=UTF8&ll=35.012038,-85.156895&spn=0.000009,0.000011&t=w&z=17&vpsrc=6' target='_blank'>Lupi's Pizza Pies (E. Brainerd)</a>","http://maps.google.com/maps/place?cid=11373203063852916018&q=Lupi's+Pizza+Pies&gl=us&hl=en&dtab=2&ie=UTF8&ll=35.012038,-85.156895&spn=0.000009,0.000011&t=w&z=17&vpsrc=6"
Jefferson's ,Imperial Pilsner,"618 Georgia Avenue, Chattanooga, TN",35.049336,-85.306068,"618 Georgia Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Imperial Pilsner",22,"<a href='http://maps.google.com/maps/place?cid=14294797932371555809&q=Jefferson's+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.056676,-85.315784&spn=0.000018,0.000021&t=w&z=16&vpsrc=0' target='_blank'>Jefferson's </a>","http://maps.google.com/maps/place?cid=14294797932371555809&q=Jefferson's+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.056676,-85.315784&spn=0.000018,0.000021&t=w&z=16&vpsrc=0"
Chato Brasserie,"Imperial Pilsner, Hill City IPA, Winter Warmer, ChickBock","200 Manufacturers Road, Chattanooga, TN",35.062909,-85.311358,"200 Manufacturers Road, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Imperial Pilsner, Hill City IPA, Winter Warmer, ChickBock",23,"<a href='http://maps.google.com/maps/place?cid=9257336501296980975&q=Chato+Brasserie&hl=en&gl=us&ie=UTF8&ll=35.090725,-85.35111&spn=0.00007,0.000086&t=w&z=14&vpsrc=0' target='_blank'>Chato Brasserie</a>","http://maps.google.com/maps/place?cid=9257336501296980975&q=Chato+Brasserie&hl=en&gl=us&ie=UTF8&ll=35.090725,-85.35111&spn=0.00007,0.000086&t=w&z=14&vpsrc=0"
Niko's Southside Grill,ChickBock,"1400 Cowart Street, Chattanooga, TN",35.038474,-85.309657,"1400 Cowart Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",24,"<a href='http://maps.google.com/maps/place?cid=17567259314053700914&q=Niko's+Southside+Grill&hl=en&gl=us&ie=UTF8&ll=35.052556,-85.328586&spn=0.000035,0.000043&t=w&z=15&vpsrc=0' target='_blank'>Niko's Southside Grill</a>","http://maps.google.com/maps/place?cid=17567259314053700914&q=Niko's+Southside+Grill&hl=en&gl=us&ie=UTF8&ll=35.052556,-85.328586&spn=0.000035,0.000043&t=w&z=15&vpsrc=0"
Urban Stack,Hill City IPA," 12 West 13th Street, Chattanooga, TN",35.039607,-85.30834," 12 West 13th Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City IPA",25,"<a href='http://maps.google.com/maps/place?ftid=0x88605e7ed434b751:0xa763876d86ba327f&q=+12+West+13th+Street,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.042948,-85.313522&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>Urban Stack</a>","http://maps.google.com/maps/place?ftid=0x88605e7ed434b751:0xa763876d86ba327f&q=+12+West+13th+Street,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.042948,-85.313522&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
O'Hieney's,"Imperial Pilsner, ChickBock","825 Houston St, Chattanooga, TN",35.045362,-85.305013,"825 Houston St, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Imperial Pilsner, ChickBock",26,"<a href='http://maps.google.com/maps/place?ftid=0x88605e7afc86ddb5:0x322bdb8e05cc5b2b&q=825+Houston+St,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.048673,-85.31038&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>O'Hieney's</a>","http://maps.google.com/maps/place?ftid=0x88605e7afc86ddb5:0x322bdb8e05cc5b2b&q=825+Houston+St,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.048673,-85.31038&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
Crust ,Winter Warmer,"100 Signal Mountain Rd, Chattanooga, TN",35.084073,-85.317458,"100 Signal Mountain Rd, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer",27,"<a href='http://maps.google.com/maps/place?cid=10998709291727884348&q=Crust+&hl=en&gl=us&ie=UTF8&ll=35.108732,-85.393158&spn=0.00014,0.000172&t=w&z=13&vpsrc=0' target='_blank'>Crust </a>","http://maps.google.com/maps/place?cid=10998709291727884348&q=Crust+&hl=en&gl=us&ie=UTF8&ll=35.108732,-85.393158&spn=0.00014,0.000172&t=w&z=13&vpsrc=0"
Chattanooga Market,"Hill City IPA, Imperial Pilsner","1829 Carter Street, Chattanooga, TN",35.036569,-85.316874,"1829 Carter Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City IPA, Imperial Pilsner",28,"<a href='http://maps.google.com/maps/place?ftid=0x88605c2a6b023255:0x6ac5ce410775d56f&q=1829+Carter+Street,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.03931,-85.322034&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>Chattanooga Market</a>","http://maps.google.com/maps/place?ftid=0x88605c2a6b023255:0x6ac5ce410775d56f&q=1829+Carter+Street,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.03931,-85.322034&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
BrewHaus,ChickBock,"224 Frazier Ave., Chattanooga, TN",35.062236,-85.306069,"224 Frazier Ave., Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",29,"<a href='http://maps.google.com/maps/place?ftid=0x88605e5c596cf3ad:0x61f37e027e915e76&q=224+Frazier+Ave.,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.065564,-85.310929&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>BrewHaus</a>","http://maps.google.com/maps/place?ftid=0x88605e5c596cf3ad:0x61f37e027e915e76&q=224+Frazier+Ave.,+Chattanooga,+TN&hl=en&gl=us&ie=UTF8&ll=35.065564,-85.310929&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
Biba's,Hill City IPA,"5918 Hixson Pike, Hixson, TN",35.150471,-85.218956,"5918 Hixson Pike, Hixson, TN<br><br><strong>Beers on Tap:</strong><br>Hill City IPA",30,"<a href='http://maps.google.com/maps/place?cid=1645137095351869091&q=Biba's&hl=en&gl=us&ie=UTF8&ll=35.262129,-85.361203&spn=0.00028,0.000343&t=w&z=12&vpsrc=0' target='_blank'>Biba's</a>","http://maps.google.com/maps/place?cid=1645137095351869091&q=Biba's&hl=en&gl=us&ie=UTF8&ll=35.262129,-85.361203&spn=0.00028,0.000343&t=w&z=12&vpsrc=0"
The Boathouse,Hill City IPA,"1459 Riverside Drive, Chattanooga, TN",35.05518,-85.28339,"1459 Riverside Drive, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City IPA",31,"<a href='http://maps.google.com/maps/place?cid=13174733536278249351&q=The+Boathouse&hl=en&gl=us&ie=UTF8&ll=35.083894,-85.32197&spn=0.00007,0.000086&t=w&z=14&vpsrc=0' target='_blank'>The Boathouse</a>","http://maps.google.com/maps/place?cid=13174733536278249351&q=The+Boathouse&hl=en&gl=us&ie=UTF8&ll=35.083894,-85.32197&spn=0.00007,0.000086&t=w&z=14&vpsrc=0"
